review_comment_lemmatized_bigram,Sentiment_Category
"'pleasure_special', 'special_pizzeria', 'pizzeria_neighborhood', 'neighborhood_varied', 'varied_pizza', 'pizza_menu', 'menu_include', 'include_brazilian', 'brazilian_recipe', 'recipe_pizza', 'pizza_dish', 'dish_real', 'real_discovery', 'discovery_quality', 'quality_ingredient', 'ingredient_good', 'good_work', 'work_super', 'super_friendly', 'friendly_staff', 'staff_recommend', 'recommend_try', 'try_pizza', 'pizza_katupiri', 'katupiri_cheese', 'cheese_delicacy'",Positive
"'problem_reservation', 'reservation_discount', 'discount_fork', 'fork_good', 'good_pleasant', 'pleasant_terrace', 'terrace_pizza', 'pizza_pasta', 'pasta_delicious', 'delicious_beautiful', 'beautiful_brazilian', 'brazilian_decoration', 'decoration_attentive', 'attentive_service'",Positive
"'quality_pizza', 'pizza_neapolitan', 'neapolitan_style', 'style_dough', 'dough_remember).the', 'remember).the_quantity', 'quantity_generous', 'generous_price', 'price_pay', 'pay_attention', 'attention_pleasant', 'pleasant_professional', 'professional_menu', 'menu_extensive', 'extensive_try', 'try_4', '4_5', '5_different', 'different_option', 'option_terrace'",Positive
"'relax_atmosphere', 'atmosphere_terrace', 'terrace_100', '100_homemade', 'homemade_pizzas!!!we', 'pizzas!!!we_lucky', 'lucky_try', 'try_carnivorous', 'carnivorous_pizza', 'pizza_time', 'time_ ', ' _100', '100_recommend', 'recommend_repeat'",Positive
'rich_exquisite',Positive
"'small_place', 'place_near', 'near_silken', 'silken_puerta', 'puerta_de', 'de_madrid', 'madrid_hotelbrazilian', 'hotelbrazilian_food', 'food_drink', 'drink_flavorthe', 'flavorthe_treatment', 'treatment_staff', 'staff_goodto', 'goodto_improve', 'improve_order', 'order_pizza', 'pizza_time', 'time_notify'",Positive
"'spectacular_quality', 'quality_price', 'price_ratio', 'ratio_friendly', 'friendly_service', 'service_large', 'large_pizza', 'pizza_surprising', 'surprising_calzone', 'calzone_doubt'",Positive
"'straight_point', 'point_category', 'category_pizza', 'pizza_artisan', 'artisan_dough', 'dough_industrial', 'industrial_natural', 'natural_flavor', 'flavor_ingredient', 'ingredient_mean', 'mean_notice', 'notice_artificial', 'artificial_flavor', 'flavor_enhancer', 'enhancer_light', 'light_satisfy', 'satisfy_pizza', 'pizza_spoil', 'spoil_finish', 'finish_make', 'make_big', 'big_difference', 'difference_compare', 'compare_competition', 'competition_aware', 'aware_passion', 'passion_love', 'love_food', 'food_bite', 'bite_case', 'case_able', 'able_try', 'try_thank', 'thank_fact', 'fact_order', 'order_halves', 'halves_atmosphere', 'atmosphere_restaurant', 'restaurant_cozy', 'cozy_invite', 'invite_warm', 'warm_lighting', 'lighting_friendly', 'friendly_approachable', 'approachable_staff', 'staff_clear', 'clear_proud', 'proud_craft', 'craft_passionate', 'passionate_overall', 'overall_highly', 'highly_recommend', 'recommend_artisan', 'artisan_pizzeria', 'pizzeria_look', 'look_delicious', 'delicious_meal', 'meal_pizza', 'pizza_truly', 'truly_exceptional', 'exceptional_atmosphere', 'atmosphere_service', 'service_notch', 'notch_incredible', 'incredible_experience', 'experience_repeat', 'repeat_sure', 'sure_guide', 'guide_google', 'google_rating', 'rating_long', 'long_time', 'time_honestly', 'honestly_fail', 'fail_exceed', 'exceed_case', 'case_expectation', 'expectation_photo', 'photo_thank', 'thank_google', 'google_great', 'great_discovery', 'discovery_simply', 'simply_brutal'",Positive
"'super_delicious', 'delicious_well', 'well_come', 'come_winter', 'winter_get', 'get_crowded', 'crowded_summer100', 'summer100_recommendable'",Positive
"'surprise_pizza', 'pizza_phenomenal', 'phenomenal_employee', 'employee_treat', 'treat_nicei', 'nicei_price', 'price_right', 'right_recommend', 'recommend_100', '100_way'",Positive
"'time_delight', 'delight_service', 'service_10', '10_food', 'food_spectacular', 'spectacular_repeat', 'repeat_sure', 'sure_pleasure'",Positive
"'totally_recommend', 'recommend_good', 'good_food', 'food_good', 'good_service'",Positive
"'truth_pleasure', 'pleasure_eat', 'eat_good', 'good_value', 'value_money', 'money_nice', 'nice_people'",Positive
"'unbeatable_treatment', 'treatment_super', 'super_nice!the', 'nice!the_super', 'super_delicious', 'delicious_pizza', 'pizza_tapas', 'tapas_serve', 'serve_perfectly', 'perfectly_cibele', 'cibele_tap', 'tap_ask'",Positive
"'value_money', 'money_great', 'great_close', 'close_treatment', 'treatment_cook', 'cook_brazilian', 'brazilian_sure', 'sure_good', 'good_food', 'food_region', 'region_recommendations:-the', 'recommendations:-the_potato', 'potato_shred', 'shred_meat', 'meat_croquette', 'croquette_delicious', 'delicious_coxinhas)-the', 'coxinhas)-the_fry', 'fry_yucca', 'yucca_good', 'good_try', 'try_order', 'order_dish', 'dish_spicy', 'spicy_imagine', 'imagine_order', 'order_portion', 'portion_-i', '-i_try', 'try_4', '4_different', 'different_pizza', 'pizza_good', 'good_medium', 'medium_size', 'size_one', 'one_generous', 'generous_recommend', 'recommend_dessert', 'dessert_yes', 'yes_yes', 'yes_ice', 'ice_cream', 'cream_açai', 'açai_bowl', 'bowl_asai', 'asai_pulp', 'pulp_delicious.-they', 'delicious.-they_natural', 'natural_smoothie', 'smoothie_tropical', 'tropical_fruit', 'fruit_typical', 'typical_brazilian', 'brazilian_region', 'region_repeat', 'repeat_doubt', 'doubt_recommend', 'recommend_vegetarian', 'vegetarian_food', 'food_terrace', 'terrace_vegetarian', 'vegetarian_option', 'option_vegetarian', 'vegetarian_pizzasparke', 'pizzasparke_easy', 'easy_park', 'park_closekid', 'closekid_friendliness', 'friendliness_go', 'go_baby', 'baby_stroller', 'stroller_problem'",Positive
"'wonderful_dinner', 'dinner_good', 'good_atmosphere', 'atmosphere_fantastic', 'fantastic_price', 'price_quality', 'quality_pleasant', 'pleasant_service', 'service_delicious', 'delicious_pizza', 'pizza_crispy', 'crispy_chicken', 'chicken_picaña', 'picaña_highly', 'highly_recommend', 'recommend_100', '100_100', '100_plus', 'plus_pizza', 'pizza_home'",Positive
"'wonderful_food', 'food_spectacular', 'spectacular_service', 'service_good', 'good_people', 'people_joy', 'joy_good', 'good_energy', 'energy_delicious', 'delicious_highlighting', 'highlighting_coxinhas', 'coxinhas_tasty', 'tasty_snack', 'snack_acai', 'acai_bowl', 'bowl_different', 'different_dessert', 'dessert_great', 'great_explosion', 'explosion_flavors)everythe', 'flavors)everythe_great', 'great_come'",Positive
"'wonderful_food', 'food_tasty', 'tasty_cocktail', 'cocktail_delicious', 'delicious_friendly', 'friendly_atmosphere'",Positive
"'wonderful_pizza', 'pizza_good', 'good_neighborhood', 'neighborhood_cibele', 'cibele_beer', 'beer_perfect', 'perfect_combination!it', 'combination!it_worth'",Positive
"'wonderful_reception', 'reception_perfect', 'perfect_service', 'service_     ', '     _wonderful', 'wonderful_reception', 'reception_service', 'service_perfect'",Positive
"'worth_know', 'know_good', 'good_pizza', 'pizza_excellent', 'excellent_service', 'service_good', 'good_price', 'price_picturesque', 'picturesque_place', 'place_worth', 'worth_visit'",Positive
